what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362357259502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357323815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357651114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357717612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357860410
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362357875925
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1362357875933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357881267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357915715
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1362357919350
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1362357919459
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1362357919475
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1362357920099
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362357920192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357924779
error,log,,,"The system console model is invalid. Cannot launch.",1362357934544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357944669
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362357947461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357950565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357951891
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362357951907
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1362357966836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362357966914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358011892
opened,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362358016088
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1362358016275
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1362358016291
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1362358016291
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1362358016291
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1362358016306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358019723
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362358021566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358030959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358035233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358769859
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362358773307
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362358773322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358792666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358795896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358798189
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358870713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362358912568
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359061408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359066494
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359158410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359163901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359166210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359172076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359302882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359310635
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359679685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362359701166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360117688
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362360119061
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360122539
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360126283
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360653540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360653544
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360661113
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360670896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362360680001
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360681833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360725153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362360806602
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360880716
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360880740
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362360884916
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360885102
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360885125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362360904715
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362360906223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362361057229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361092234
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361096049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361096263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361096447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361096631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361096880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362361101743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362361103454
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362361104712
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362361306205
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362361310325
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1362361320784
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362361331380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362361396532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362361417086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362361426622
