what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443131469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443284918
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1362443285768
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362443285806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362443308218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443327406
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443338232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443338245
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362443338256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443340540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443344783
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443344790
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362443344801
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443354838
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362443358820
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362443360053
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443365488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443368509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443405246
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362443405259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443438350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443457078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362443483479
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443500283
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362443504103
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362443505192
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362443510842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443513837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362443999164
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362443999177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362444028089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362444041290
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1362444091975
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362444106009
