what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362465784831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362465840535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362465847216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362465851818
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362465854513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362465857555
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362465857559
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362465858653
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362465863751
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466154519
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466156527
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466156567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466161293
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362466169371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466169375
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466169388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466178983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466180614
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466183055
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466198184
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466198227
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466216665
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1362466258994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466275798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466279729
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466279782
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466279838
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362466290252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466591304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466600299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466606250
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362466608686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362466612154
